,race,sex,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,sensitive
1700,African-American,Male,0,0,0,0,0,1,0,AM
1701,Caucasian,Male,1,0,0,0,0,1,0,CM
1702,Hispanic,Male,1,0,0,0,0,1,0,HM
1703,Hispanic,Female,1,0,0,0,0,1,0,HF
1704,African-American,Male,0,0,0,0,0,0,1,AM
1705,Caucasian,Male,1,0,0,0,0,0,1,CM
1706,African-American,Female,1,0,0,0,0,1,0,AF
1707,African-American,Male,2,0,0,0,0,1,0,AM
1708,Hispanic,Female,2,0,0,0,0,0,0,HF
1709,Minority,Female,2,0,0,0,0,0,0,MF
1710,African-American,Male,2,0,0,0,0,1,0,AM
1711,African-American,Male,1,0,0,0,0,1,1,AM
1712,Hispanic,Male,2,0,0,0,0,0,0,HM
1713,African-American,Male,1,0,0,0,0,1,0,AM
1714,Caucasian,Female,2,0,0,0,0,0,0,CF
1715,African-American,Male,1,0,0,0,0,0,1,AM
1716,African-American,Male,1,0,0,1,0,1,0,AM
1717,African-American,Male,2,0,0,0,0,1,0,AM
1718,African-American,Female,1,0,0,0,0,0,0,AF
1719,African-American,Male,1,0,0,0,0,1,0,AM
1720,Caucasian,Male,2,0,0,0,0,1,0,CM
1721,Caucasian,Male,1,0,0,0,0,1,0,CM
1722,African-American,Male,2,0,0,0,0,1,0,AM
1723,Hispanic,Male,0,0,0,0,0,1,0,HM
1724,African-American,Male,1,0,0,0,2,1,1,AM
1725,African-American,Male,1,0,0,0,0,1,0,AM
1726,African-American,Male,1,0,0,1,0,0,1,AM
1727,Caucasian,Male,1,0,0,0,0,1,1,CM
1728,African-American,Male,1,0,0,0,0,1,0,AM
1729,African-American,Male,2,0,0,0,0,1,1,AM
1730,Hispanic,Male,2,0,0,0,0,0,0,HM
1731,African-American,Male,1,0,1,0,0,1,0,AM
1732,Caucasian,Male,2,0,0,0,0,1,0,CM
1733,African-American,Male,2,0,0,0,1,1,1,AM
1734,Caucasian,Male,1,0,0,0,0,1,1,CM
1735,Caucasian,Male,1,0,0,0,0,1,1,CM
1736,Caucasian,Male,0,0,0,1,0,0,0,CM
1737,African-American,Male,1,0,0,0,0,0,0,AM
1738,Minority,Male,1,0,0,0,0,0,0,MM
1739,Hispanic,Male,0,1,0,0,0,1,0,HM
1740,Caucasian,Male,1,0,0,0,0,1,0,CM
1741,Caucasian,Male,1,0,0,0,0,0,1,CM
1742,Hispanic,Female,2,0,0,0,0,1,0,HF
1743,Caucasian,Male,2,0,0,0,0,1,0,CM
1744,African-American,Female,1,0,0,0,0,1,0,AF
1745,African-American,Male,2,0,0,0,0,0,0,AM
1746,African-American,Male,1,0,0,0,0,1,0,AM
1747,African-American,Male,1,0,0,0,0,0,0,AM
1748,African-American,Male,0,0,0,0,0,1,0,AM
1749,Caucasian,Male,2,0,0,0,0,1,0,CM
1750,African-American,Male,2,0,0,0,0,0,0,AM
1751,Caucasian,Male,1,0,0,0,0,1,0,CM
1752,Caucasian,Female,1,0,0,0,1,1,1,CF
1753,African-American,Male,0,0,0,0,0,1,0,AM
1754,African-American,Male,1,0,0,0,0,1,1,AM
1755,African-American,Female,1,0,0,0,0,1,1,AF
1756,Caucasian,Male,0,0,0,0,0,1,0,CM
1757,Caucasian,Female,1,0,1,0,0,1,0,CF
1758,Caucasian,Male,2,0,0,0,0,0,0,CM
1759,African-American,Male,1,0,1,1,0,1,1,AM
1760,African-American,Male,1,1,0,0,0,1,1,AM
1761,African-American,Male,0,0,1,1,0,1,0,AM
1762,Caucasian,Male,1,0,0,0,0,1,1,CM
1763,Caucasian,Male,0,0,0,0,0,1,0,CM
1764,African-American,Male,0,0,0,0,0,0,0,AM
1765,Caucasian,Female,1,0,0,0,0,0,0,CF
1766,African-American,Male,1,0,0,0,0,1,0,AM
1767,African-American,Male,1,0,0,0,0,1,0,AM
1768,African-American,Male,1,0,0,0,0,1,0,AM
1769,Caucasian,Male,2,0,0,0,0,0,0,CM
1770,African-American,Female,0,0,0,0,0,1,0,AF
1771,African-American,Female,1,0,0,0,0,0,0,AF
1772,Caucasian,Male,2,0,0,0,0,0,0,CM
1773,African-American,Male,1,0,0,1,0,1,1,AM
1774,African-American,Female,1,0,0,0,0,0,0,AF
1775,Caucasian,Female,2,0,0,0,0,1,1,CF
1776,African-American,Male,2,0,0,0,0,0,0,AM
1777,Hispanic,Male,1,0,0,0,0,1,1,HM
1778,African-American,Male,1,0,0,0,0,1,0,AM
1779,Hispanic,Male,2,0,0,0,1,0,0,HM
1780,Caucasian,Female,2,0,0,0,0,1,1,CF
1781,African-American,Male,0,0,0,0,0,1,0,AM
1782,African-American,Male,2,0,0,0,0,1,0,AM
1783,African-American,Male,1,0,0,0,0,1,1,AM
1784,African-American,Female,1,0,0,0,0,1,0,AF
1785,Caucasian,Male,1,0,0,0,0,1,0,CM
1786,African-American,Male,1,0,0,1,0,0,0,AM
1787,Caucasian,Male,1,0,0,0,0,1,1,CM
1788,Caucasian,Male,1,0,0,0,0,0,0,CM
1789,Hispanic,Male,2,0,0,0,0,0,0,HM
1790,Caucasian,Male,1,0,0,0,0,1,1,CM
1791,African-American,Female,1,0,0,0,0,1,1,AF
1792,African-American,Male,0,0,0,0,0,1,1,AM
1793,Hispanic,Male,1,0,0,0,0,0,0,HM
1794,Minority,Male,1,1,0,0,2,1,1,MM
1795,Hispanic,Male,1,0,1,0,1,1,0,HM
1796,African-American,Male,1,0,0,0,0,1,1,AM
1797,Caucasian,Male,2,0,0,0,0,1,1,CM
1798,Minority,Male,0,0,0,0,0,0,0,MM
1799,African-American,Male,0,0,0,0,0,1,1,AM
1800,Hispanic,Male,1,0,0,0,0,1,0,HM
1801,African-American,Male,2,0,0,0,2,1,1,AM
1802,Minority,Male,2,0,0,0,0,1,0,MM
1803,African-American,Male,1,0,1,0,1,1,1,AM
1804,Caucasian,Male,1,0,0,0,1,1,1,CM
1805,African-American,Male,1,0,0,0,0,1,1,AM
1806,Minority,Male,1,0,0,0,0,0,0,MM
1807,African-American,Male,1,0,0,0,0,1,1,AM
1808,Caucasian,Female,1,0,0,0,0,1,1,CF
1809,Caucasian,Male,1,0,0,0,0,1,0,CM
1810,Caucasian,Male,2,0,0,0,0,0,1,CM
1811,Caucasian,Male,0,0,0,0,0,1,1,CM
1812,Caucasian,Male,1,0,0,0,0,0,0,CM
1813,African-American,Male,1,0,0,0,0,0,0,AM
1814,African-American,Male,1,0,0,0,0,1,0,AM
1815,Hispanic,Female,2,0,0,0,0,1,0,HF
1816,Caucasian,Male,2,0,0,0,0,0,0,CM
1817,African-American,Male,1,0,0,0,0,1,1,AM
1818,Caucasian,Female,1,0,0,0,0,0,0,CF
1819,African-American,Male,1,0,0,0,0,1,0,AM
1820,Caucasian,Male,1,0,0,1,0,0,0,CM
1821,African-American,Male,1,0,0,0,0,1,0,AM
1822,African-American,Male,0,0,0,0,0,1,1,AM
1823,Caucasian,Male,1,0,0,0,0,0,0,CM
1824,African-American,Female,1,0,0,0,0,0,0,AF
1825,African-American,Male,1,0,0,0,0,1,1,AM
1826,Caucasian,Male,2,0,0,0,0,0,1,CM
1827,Minority,Female,0,0,0,0,0,1,0,MF
1828,Caucasian,Male,1,0,0,0,0,0,0,CM
1829,African-American,Male,0,0,0,0,0,0,1,AM
1830,African-American,Female,2,0,0,0,1,0,1,AF
1831,Caucasian,Male,1,0,0,0,0,0,1,CM
1832,Caucasian,Male,1,0,0,0,0,0,0,CM
1833,African-American,Male,1,0,0,0,0,0,0,AM
1834,Caucasian,Female,2,0,0,0,0,1,0,CF
1835,Caucasian,Male,2,0,0,0,0,0,0,CM
1836,African-American,Male,1,1,0,0,1,0,1,AM
1837,African-American,Male,1,0,0,0,0,1,0,AM
1838,African-American,Female,1,0,0,0,0,1,1,AF
1839,Caucasian,Male,2,0,0,0,0,1,0,CM
1840,Hispanic,Male,0,0,0,0,0,0,1,HM
1841,Caucasian,Male,1,0,0,0,0,0,0,CM
1842,African-American,Male,1,0,0,0,0,0,0,AM
1843,African-American,Male,1,1,1,0,1,1,0,AM
1844,Caucasian,Male,1,0,1,1,0,0,1,CM
1845,African-American,Male,1,0,0,0,0,0,1,AM
1846,African-American,Male,0,0,0,0,0,0,0,AM
1847,Caucasian,Male,1,0,0,0,0,0,0,CM
1848,African-American,Male,1,0,0,0,0,0,1,AM
1849,African-American,Male,2,0,0,0,0,1,0,AM
1850,Hispanic,Male,0,0,0,0,1,1,1,HM
1851,African-American,Male,1,0,0,0,0,1,0,AM
1852,African-American,Male,0,0,0,0,0,1,0,AM
1853,African-American,Male,1,1,1,0,0,0,1,AM
1854,Caucasian,Male,1,0,0,0,0,0,1,CM
1855,Caucasian,Male,1,0,0,0,0,1,0,CM
1856,African-American,Male,0,0,0,0,0,1,1,AM
1857,Caucasian,Male,2,0,0,0,0,0,0,CM
1858,Caucasian,Female,1,0,0,1,0,1,0,CF
1859,Hispanic,Male,2,0,0,0,0,1,1,HM
1860,Caucasian,Male,0,0,0,0,0,1,1,CM
1861,African-American,Female,0,0,0,0,0,0,1,AF
1862,Hispanic,Male,1,0,0,1,0,1,0,HM
1863,African-American,Male,2,0,0,0,0,1,0,AM
1864,Minority,Male,1,0,0,0,0,1,0,MM
1865,Caucasian,Male,1,0,0,0,0,1,1,CM
1866,Minority,Male,2,0,0,0,0,1,1,MM
1867,African-American,Female,2,0,0,0,0,0,0,AF
1868,Caucasian,Male,0,0,1,1,0,0,0,CM
1869,African-American,Male,0,0,0,0,0,1,1,AM
1870,Caucasian,Male,1,0,0,0,0,0,0,CM
1871,Hispanic,Male,0,0,0,0,0,1,1,HM
1872,Caucasian,Male,2,0,0,0,0,1,1,CM
1873,Caucasian,Male,1,0,0,0,0,1,1,CM
1874,Caucasian,Male,0,0,0,0,0,0,1,CM
1875,Minority,Male,1,0,0,0,0,1,0,MM
1876,African-American,Male,1,0,0,0,0,1,0,AM
1877,African-American,Male,1,0,0,0,1,1,1,AM
1878,African-American,Female,1,0,0,0,0,0,1,AF
1879,African-American,Male,1,0,0,0,0,1,0,AM
1880,African-American,Male,1,0,0,1,0,1,0,AM
1881,Caucasian,Male,1,0,0,0,1,1,1,CM
1882,African-American,Male,1,0,0,0,0,1,0,AM
1883,African-American,Male,1,0,0,0,0,1,1,AM
1884,Minority,Male,0,0,1,0,0,1,1,MM
1885,African-American,Male,1,0,0,0,0,1,1,AM
1886,African-American,Male,0,0,0,0,0,1,1,AM
1887,Caucasian,Male,1,0,0,0,0,1,0,CM
1888,Caucasian,Male,0,0,0,0,0,0,0,CM
1889,Hispanic,Male,1,0,0,0,0,0,0,HM
1890,African-American,Male,0,0,0,0,0,0,1,AM
1891,African-American,Male,0,0,0,1,0,1,1,AM
1892,Caucasian,Male,1,1,0,1,1,1,1,CM
1893,African-American,Male,1,0,0,0,0,0,1,AM
1894,African-American,Male,1,0,0,0,0,1,1,AM
1895,African-American,Female,0,0,0,0,0,0,1,AF
1896,Caucasian,Male,1,0,0,0,0,0,0,CM
1897,Caucasian,Male,2,0,0,0,0,1,0,CM
1898,Caucasian,Male,1,0,0,0,0,1,1,CM
1899,African-American,Male,1,0,0,0,1,1,1,AM
1900,African-American,Male,1,0,1,0,1,1,1,AM
1901,African-American,Male,1,0,0,0,0,1,1,AM
1902,African-American,Male,1,0,0,0,0,0,0,AM
1903,African-American,Female,2,0,0,0,2,1,1,AF
1904,Hispanic,Male,0,0,0,0,0,0,1,HM
1905,African-American,Male,2,0,0,0,0,1,0,AM
1906,African-American,Male,1,0,0,0,0,1,0,AM
1907,African-American,Male,1,0,0,0,0,1,1,AM
1908,Caucasian,Male,1,0,0,0,0,1,1,CM
1909,Caucasian,Female,1,0,0,0,0,0,0,CF
1910,Caucasian,Male,1,0,1,0,1,1,1,CM
1911,African-American,Male,0,0,0,0,0,0,0,AM
1912,African-American,Male,1,0,0,0,0,1,1,AM
1913,Caucasian,Male,1,0,0,0,0,0,0,CM
1914,African-American,Male,1,0,0,1,0,1,1,AM
1915,African-American,Male,0,0,0,0,0,1,1,AM
1916,African-American,Male,0,0,0,0,0,1,0,AM
1917,Caucasian,Male,1,0,0,0,0,0,0,CM
1918,African-American,Male,1,0,0,0,0,0,1,AM
1919,African-American,Male,1,0,1,0,1,0,0,AM
1920,African-American,Male,1,0,0,0,0,1,0,AM
1921,Caucasian,Male,1,0,0,0,0,1,1,CM
1922,Caucasian,Male,1,0,0,1,0,0,0,CM
1923,Hispanic,Female,1,0,0,0,0,1,1,HF
1924,African-American,Male,2,0,0,0,0,0,0,AM
1925,Minority,Male,1,0,0,0,0,0,0,MM
1926,Hispanic,Male,2,0,0,0,0,0,0,HM
1927,African-American,Male,0,0,0,0,0,1,1,AM
1928,African-American,Male,1,0,0,0,0,1,1,AM
1929,African-American,Male,1,0,0,0,0,0,0,AM
1930,Caucasian,Male,0,0,0,0,0,1,0,CM
1931,African-American,Male,1,0,0,0,0,0,1,AM
1932,African-American,Male,1,0,0,0,0,1,0,AM
1933,African-American,Male,1,0,0,0,0,1,0,AM
1934,African-American,Male,1,0,0,0,0,1,1,AM
1935,African-American,Male,1,0,0,0,0,1,1,AM
1936,Caucasian,Male,2,0,0,0,0,0,0,CM
1937,African-American,Male,1,0,1,0,0,1,0,AM
1938,Caucasian,Male,0,0,0,0,0,1,1,CM
1939,African-American,Male,1,0,0,0,0,1,0,AM
1940,African-American,Female,0,0,0,0,0,0,0,AF
1941,Caucasian,Male,1,0,0,0,0,1,0,CM
1942,Caucasian,Male,1,0,0,0,0,1,0,CM
1943,Caucasian,Male,2,0,0,0,0,1,1,CM
1944,African-American,Male,1,0,0,0,0,1,0,AM
1945,African-American,Male,0,0,0,0,0,1,0,AM
1946,Caucasian,Male,0,0,0,0,0,1,0,CM
1947,African-American,Male,1,0,0,0,0,0,0,AM
1948,Caucasian,Male,2,0,0,0,0,0,0,CM
1949,African-American,Male,1,0,0,0,0,0,0,AM
1950,African-American,Male,1,0,0,0,0,1,1,AM
1951,African-American,Male,1,0,0,0,0,0,0,AM
1952,Caucasian,Male,1,0,0,0,0,1,0,CM
1953,Caucasian,Male,0,0,0,0,0,1,1,CM
1954,Hispanic,Male,1,0,0,0,0,0,0,HM
1955,African-American,Male,1,0,0,0,0,0,1,AM
1956,Caucasian,Male,2,0,0,0,0,0,1,CM
1957,Minority,Male,1,0,0,0,0,1,0,MM
1958,African-American,Male,2,0,0,0,0,1,0,AM
1959,Minority,Female,0,0,0,0,0,1,1,MF
1960,African-American,Male,2,0,0,0,0,1,1,AM
1961,African-American,Male,1,0,0,0,0,0,0,AM
1962,African-American,Female,2,0,0,0,0,0,0,AF
1963,African-American,Male,1,0,0,0,0,1,0,AM
1964,African-American,Male,2,0,0,0,0,1,1,AM
1965,Caucasian,Female,1,0,0,0,0,1,0,CF
1966,African-American,Male,2,0,0,0,0,0,0,AM
1967,Caucasian,Male,2,0,0,0,0,1,1,CM
1968,Caucasian,Male,2,0,0,0,0,1,0,CM
1969,Caucasian,Male,2,0,0,0,0,0,0,CM
1970,African-American,Male,2,0,0,0,0,1,1,AM
1971,African-American,Female,1,0,0,0,0,1,0,AF
1972,Hispanic,Male,0,1,0,0,0,1,1,HM
1973,African-American,Male,2,0,0,0,1,1,0,AM
1974,Minority,Male,0,0,0,0,0,1,0,MM
1975,African-American,Male,1,0,0,0,2,1,1,AM
1976,Hispanic,Female,0,0,0,0,0,0,0,HF
1977,African-American,Male,1,0,0,0,0,1,0,AM
1978,African-American,Male,1,0,0,0,0,1,1,AM
1979,African-American,Male,0,0,0,0,0,1,0,AM
1980,Caucasian,Male,1,0,0,0,0,0,1,CM
1981,Hispanic,Male,2,0,0,0,0,0,0,HM
1982,Caucasian,Male,2,0,0,0,0,0,0,CM
1983,African-American,Male,0,0,0,1,0,1,1,AM
1984,Caucasian,Male,2,0,0,0,0,0,1,CM
1985,Caucasian,Male,2,0,0,0,0,0,1,CM
1986,African-American,Male,2,0,0,0,0,1,0,AM
1987,African-American,Female,1,0,1,0,1,1,1,AF
1988,African-American,Male,1,0,0,0,0,0,0,AM
1989,African-American,Male,1,0,1,0,1,1,1,AM
1990,African-American,Male,1,0,0,0,0,1,0,AM
1991,African-American,Male,2,0,0,0,0,1,1,AM
1992,African-American,Male,1,0,0,0,0,1,1,AM
1993,African-American,Male,1,0,0,0,1,1,0,AM
1994,Caucasian,Male,1,0,0,0,0,1,1,CM
1995,African-American,Male,1,0,0,1,0,1,0,AM
1996,Minority,Male,1,0,0,0,0,1,0,MM
1997,African-American,Female,1,0,0,0,0,0,0,AF
1998,Caucasian,Male,1,0,0,0,0,1,0,CM
1999,African-American,Female,1,0,0,0,0,0,0,AF
2000,Hispanic,Male,0,0,0,0,0,1,0,HM
2001,Caucasian,Female,2,0,0,0,0,0,0,CF
2002,Caucasian,Male,1,0,0,0,0,1,1,CM
2003,African-American,Male,2,0,0,0,0,1,0,AM
2004,Caucasian,Male,1,0,0,0,0,0,1,CM
2005,African-American,Female,1,0,0,0,0,0,0,AF
2006,African-American,Male,1,0,0,0,0,1,0,AM
2007,African-American,Male,1,0,0,1,0,1,0,AM
2008,African-American,Male,2,0,0,0,0,0,0,AM
2009,African-American,Male,1,0,0,0,0,0,0,AM
2010,African-American,Male,2,0,0,0,0,1,0,AM
2011,African-American,Male,1,0,0,0,0,1,0,AM
2012,African-American,Male,1,0,0,0,0,1,1,AM
2013,African-American,Male,1,0,0,0,0,0,0,AM
2014,Caucasian,Male,1,0,0,0,0,0,0,CM
2015,African-American,Female,1,0,0,0,0,1,0,AF
2016,African-American,Male,1,0,1,0,1,0,1,AM
2017,African-American,Male,1,0,0,0,0,1,0,AM
2018,Caucasian,Male,1,0,0,1,0,1,0,CM
2019,African-American,Female,1,0,0,0,0,1,1,AF
2020,Caucasian,Male,1,0,0,0,0,1,0,CM
2021,Caucasian,Male,2,0,0,0,0,0,0,CM
2022,Caucasian,Female,1,0,0,0,0,0,0,CF
2023,African-American,Male,1,0,0,1,0,1,0,AM
2024,African-American,Female,2,0,0,0,0,0,0,AF
2025,African-American,Male,0,0,0,0,0,1,0,AM
2026,Hispanic,Male,1,0,0,0,1,1,1,HM
2027,African-American,Male,1,0,0,0,0,1,1,AM
2028,African-American,Female,0,0,0,0,0,0,0,AF
2029,African-American,Male,1,0,0,0,0,1,0,AM
2030,Caucasian,Female,0,0,0,0,0,1,0,CF
2031,African-American,Male,1,0,0,0,1,0,1,AM
2032,African-American,Male,2,0,0,0,0,1,0,AM
2033,African-American,Male,1,0,0,0,0,1,0,AM
2034,Minority,Female,1,0,0,0,0,0,0,MF
2035,Caucasian,Male,2,0,0,0,0,0,0,CM
2036,Caucasian,Male,0,0,0,1,0,0,1,CM
2037,African-American,Male,1,1,0,0,0,0,0,AM
2038,African-American,Male,1,0,0,0,0,1,0,AM
2039,Hispanic,Male,1,0,0,0,0,1,1,HM
2040,Minority,Male,1,0,0,0,0,1,1,MM
2041,African-American,Female,1,0,0,0,0,0,0,AF
2042,African-American,Male,0,0,0,0,0,1,1,AM
2043,African-American,Male,0,0,0,0,0,1,1,AM
2044,African-American,Male,1,0,0,0,0,0,0,AM
2045,Hispanic,Male,0,0,0,0,0,1,1,HM
2046,Caucasian,Male,2,0,0,1,0,0,0,CM
2047,African-American,Male,2,0,0,0,0,1,0,AM
2048,African-American,Male,1,0,0,0,1,1,0,AM
2049,Hispanic,Male,1,0,0,0,0,1,1,HM
2050,Hispanic,Male,1,0,0,0,0,1,1,HM
2051,African-American,Male,0,0,0,0,0,0,1,AM
2052,African-American,Male,1,0,0,1,0,1,0,AM
2053,Caucasian,Female,1,0,0,0,0,0,0,CF
2054,Caucasian,Male,2,0,0,0,0,0,0,CM
2055,African-American,Male,1,0,0,0,1,1,1,AM
2056,Hispanic,Male,1,0,0,0,0,1,0,HM
2057,Caucasian,Male,1,0,0,0,0,1,1,CM
2058,African-American,Male,2,0,0,0,2,1,1,AM
2059,African-American,Male,1,0,1,1,0,1,1,AM
2060,Hispanic,Male,1,0,0,0,0,1,1,HM
2061,Caucasian,Female,1,0,0,0,0,1,0,CF
2062,Caucasian,Male,1,0,0,0,0,1,0,CM
2063,Minority,Male,1,0,0,0,0,1,0,MM
2064,Minority,Male,1,0,1,0,0,1,1,MM
2065,Caucasian,Male,2,0,0,0,0,1,0,CM
2066,Caucasian,Male,0,0,0,0,0,1,0,CM
2067,African-American,Male,1,0,0,0,0,1,0,AM
2068,Caucasian,Male,1,0,0,0,0,1,0,CM
2069,African-American,Male,0,0,0,0,0,1,1,AM
2070,Hispanic,Male,1,0,0,0,0,1,0,HM
2071,Caucasian,Male,1,0,0,1,0,0,1,CM
2072,Caucasian,Male,1,0,0,0,0,0,0,CM
2073,African-American,Male,1,0,1,1,1,1,1,AM
2074,Caucasian,Male,1,0,0,0,0,1,1,CM
2075,Caucasian,Male,0,0,0,0,0,1,1,CM
2076,African-American,Male,1,1,0,0,0,1,1,AM
2077,Caucasian,Male,2,0,0,0,0,0,0,CM
2078,African-American,Female,1,0,0,0,0,0,1,AF
2079,Minority,Male,0,0,0,0,0,1,1,MM
2080,Caucasian,Male,2,0,0,0,0,0,1,CM
2081,African-American,Male,1,0,0,0,0,1,0,AM
2082,African-American,Male,1,0,0,0,0,1,1,AM
2083,Caucasian,Male,0,0,0,1,0,1,1,CM
2084,Caucasian,Male,0,0,0,1,0,1,1,CM
2085,African-American,Male,1,0,0,0,0,1,0,AM
2086,African-American,Male,1,0,0,0,0,1,1,AM
2087,Caucasian,Female,1,0,0,0,0,1,0,CF
2088,Minority,Male,2,0,0,0,0,1,0,MM
2089,African-American,Male,1,0,0,0,2,1,1,AM
2090,African-American,Male,0,0,0,1,0,1,0,AM
2091,African-American,Male,1,0,0,0,0,1,0,AM
2092,Caucasian,Male,1,0,0,0,0,0,0,CM
2093,Minority,Female,1,0,0,0,0,0,0,MF
2094,Minority,Male,0,0,0,0,0,1,0,MM
2095,African-American,Male,1,0,0,0,0,1,1,AM
2096,Caucasian,Female,0,0,0,0,0,1,0,CF
2097,Minority,Male,0,1,0,0,0,1,0,MM
2098,Caucasian,Male,2,0,0,0,0,0,0,CM
2099,African-American,Male,1,0,0,0,0,1,0,AM
2100,Minority,Male,2,0,0,0,0,0,0,MM
2101,African-American,Female,1,0,0,0,0,0,0,AF
2102,African-American,Male,0,0,0,0,0,1,0,AM
2103,African-American,Male,1,0,0,0,0,1,1,AM
2104,Hispanic,Female,1,0,0,0,0,0,1,HF
2105,Caucasian,Male,2,0,0,0,0,0,0,CM
2106,Caucasian,Male,1,0,0,0,0,1,0,CM
2107,Minority,Male,1,0,0,0,0,0,0,MM
2108,African-American,Male,1,0,1,0,0,1,0,AM
2109,Caucasian,Male,2,0,0,0,0,1,1,CM
2110,African-American,Male,0,0,0,0,0,1,1,AM
2111,African-American,Male,1,0,0,0,0,1,0,AM
2112,Caucasian,Male,1,0,0,0,0,1,1,CM
2113,Caucasian,Male,1,0,0,0,0,1,0,CM
2114,African-American,Female,2,0,0,0,0,1,0,AF
2115,African-American,Female,2,0,0,0,0,1,0,AF
2116,Caucasian,Male,1,0,0,0,0,1,0,CM
2117,African-American,Male,1,0,0,0,1,1,1,AM
2118,Caucasian,Male,1,0,0,0,0,0,0,CM
2119,African-American,Male,1,0,0,1,1,1,1,AM
2120,African-American,Female,1,0,0,0,0,1,0,AF
2121,African-American,Male,0,1,0,0,0,1,0,AM
2122,African-American,Female,2,0,0,0,0,1,1,AF
2123,Caucasian,Male,1,0,0,0,0,0,0,CM
2124,Caucasian,Male,1,0,0,0,0,1,0,CM
2125,Caucasian,Male,2,0,0,0,1,1,1,CM
2126,Caucasian,Male,2,0,0,0,0,1,0,CM
2127,African-American,Male,2,0,0,0,0,0,0,AM
2128,Minority,Female,2,0,0,0,1,1,1,MF
2129,African-American,Male,2,0,0,0,2,1,1,AM
2130,Caucasian,Female,2,0,0,0,0,1,0,CF
2131,African-American,Female,1,0,0,0,0,0,1,AF
2132,Caucasian,Female,2,0,0,0,0,1,0,CF
2133,African-American,Male,1,0,0,0,0,0,0,AM
2134,Caucasian,Male,1,0,1,0,0,0,1,CM
2135,African-American,Male,0,0,1,0,0,1,1,AM
2136,African-American,Male,1,0,0,1,2,1,1,AM
2137,African-American,Male,0,0,0,0,0,1,1,AM
2138,African-American,Male,0,0,0,0,0,1,0,AM
2139,African-American,Male,1,0,0,0,0,1,1,AM
2140,African-American,Female,1,0,0,0,0,1,1,AF
2141,Caucasian,Male,1,0,0,0,0,1,1,CM
2142,Caucasian,Male,2,0,0,0,0,0,0,CM
2143,Caucasian,Male,1,0,0,0,1,1,1,CM
2144,African-American,Male,2,0,0,0,0,1,1,AM
2145,Minority,Male,1,0,0,0,0,0,1,MM
2146,African-American,Male,0,1,0,0,0,1,1,AM
2147,African-American,Male,1,0,0,0,1,1,1,AM
2148,African-American,Male,1,0,0,0,1,1,0,AM
2149,African-American,Male,1,0,0,0,0,1,0,AM
2150,African-American,Male,1,0,0,0,0,0,1,AM
2151,Hispanic,Male,1,0,0,0,0,1,0,HM
2152,Caucasian,Female,1,0,0,0,0,1,0,CF
2153,Minority,Female,0,0,0,0,0,0,1,MF
2154,Hispanic,Male,1,0,0,0,0,0,0,HM
2155,Caucasian,Male,1,0,0,0,0,0,0,CM
2156,African-American,Male,1,0,0,0,0,1,1,AM
2157,Caucasian,Male,2,0,0,0,1,1,1,CM
2158,African-American,Female,1,0,0,0,0,0,0,AF
2159,Caucasian,Female,1,0,0,0,0,1,1,CF
2160,African-American,Male,1,0,0,0,0,1,0,AM
2161,Caucasian,Female,2,0,0,0,0,1,0,CF
2162,Caucasian,Male,1,0,0,0,0,0,0,CM
2163,Caucasian,Male,1,0,0,0,0,1,1,CM
2164,Hispanic,Male,1,0,1,0,0,0,0,HM
2165,Caucasian,Male,2,0,0,0,0,0,0,CM
2166,Caucasian,Male,1,0,0,0,0,1,0,CM
2167,Caucasian,Male,2,0,0,0,0,0,0,CM
2168,Caucasian,Female,1,0,0,0,0,0,1,CF
2169,Caucasian,Male,2,0,0,0,0,1,0,CM
2170,Caucasian,Female,1,0,0,0,0,1,0,CF
2171,Caucasian,Male,0,0,0,0,0,1,0,CM
2172,African-American,Male,0,0,0,0,0,1,1,AM
2173,African-American,Male,1,0,0,0,0,0,1,AM
2174,Caucasian,Male,2,0,0,0,0,0,0,CM
2175,Hispanic,Male,2,0,0,0,0,0,0,HM
2176,African-American,Male,1,0,0,0,0,1,0,AM
2177,African-American,Female,0,1,0,0,0,1,1,AF
2178,Caucasian,Male,1,0,0,0,0,0,1,CM
2179,African-American,Male,1,0,0,0,0,1,1,AM
2180,African-American,Male,2,0,0,0,0,1,0,AM
2181,Caucasian,Male,1,0,0,0,0,1,1,CM
2182,Hispanic,Female,1,0,0,0,0,0,1,HF
2183,African-American,Male,1,0,0,0,1,1,1,AM
2184,African-American,Male,0,0,0,0,0,0,0,AM
2185,Caucasian,Male,2,0,0,0,0,1,0,CM
2186,African-American,Male,1,0,1,0,2,0,1,AM
2187,African-American,Male,0,0,0,0,0,1,0,AM
2188,African-American,Male,1,0,0,0,0,0,1,AM
2189,African-American,Male,0,1,0,0,0,1,1,AM
2190,African-American,Male,1,0,0,0,0,1,1,AM
2191,Caucasian,Female,1,0,0,0,0,1,0,CF
2192,African-American,Female,1,0,0,0,0,1,1,AF
2193,Caucasian,Male,1,0,0,0,0,1,1,CM
2194,African-American,Male,1,0,0,0,0,0,1,AM
2195,African-American,Male,1,0,0,0,0,1,0,AM
2196,African-American,Female,1,0,0,0,0,1,1,AF
2197,African-American,Male,1,0,0,0,0,1,1,AM
2198,Caucasian,Male,2,0,0,0,0,1,0,CM
2199,African-American,Male,1,0,0,0,0,1,0,AM
